,Company(Maker),Specific_Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad Bean_Origin,Quality,Review_Year
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,Missing,Sao Tome,Above Average,11.0
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,Missing,Togo,Below Average,10.0
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,Missing,Togo,Average,10.0
3,A. Morin,Akata,1680,2015,70.0,France,3.5,Missing,Togo,Average,10.0
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,Missing,Peru,Average,10.0
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Below Average,9.0
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,Missing,Cuba,Average,9.0
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Average,9.0
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Above Average,9.0
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,Missing,Peru,Above Average,9.0
10,A. Morin,Panama,1011,2013,70.0,France,2.75,Missing,Panama,Below Average,8.0
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Average,8.0
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,Missing,Brazil,Average,8.0
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,Missing,Ecuador,Above Average,8.0
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,Missing,Colombia,Below Average,8.0
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,Missing,Burma,Average,8.0
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,Missing,Papua New Guinea,Average,8.0
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,Above Average,8.0
18,A. Morin,Piura,1019,2013,70.0,France,3.25,Missing,Peru,Average,8.0
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Missing,Peru,Average,8.0
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Missing,Peru,Above Average,8.0
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,Missing,Bolivia,Average,7.0
22,A. Morin,Peru,797,2012,63.0,France,3.75,Missing,Peru,Above Average,7.0
